"model","year","price","transmission","mileage","fuelType","tax","mpg","engineSize"
"Mokka X",2017,9990,"Manual",24396,"Petrol",205,42.2,1.6
"Aygo",2014,5198,"Manual",17920,"Petrol",0,69,1
"Corsa",2019,8980,"Manual",11423,"Petrol",145,43.5,1.4
"Octavia",2019,15999,"Manual",5660,"Diesel",145,56.5,1.6
"Corsa",2019,10646,"Manual",3895,"Petrol",150,43.5,1.4
"Mokka X",2018,11998,"Manual",16376,"Petrol",145,39.2,1.4
"GT86",2019,22200,"Semi-Auto",16241,"Petrol",145,32.8,2
"Rapid",2017,8990,"Manual",33228,"Petrol",30,57.7,1.2
"Corsa",2017,7990,"Manual",22013,"Petrol",150,55.4,1.4
"Adam",2018,9999,"Manual",4933,"Petrol",145,53.3,1.2
"RS3",2015,27790,"Automatic",27000,"Petrol",300,34.9,2.5
"Mokka",2015,7710,"Manual",39011,"Petrol",160,44.8,1.4
"Yaris",2018,11495,"Manual",25000,"Petrol",145,47.1,1.5
"Octavia",2019,13398,"Manual",14601,"Petrol",145,60.1,1
"TT",2015,16490,"Automatic",46000,"Petrol",160,44.1,2
"A3",2014,12799,"Automatic",7595,"Petrol",125,50.4,1.8
"A3",2016,15380,"Automatic",24523,"Diesel",20,70.6,1.6
"Citigo",2013,5000,"Manual",39669,"Petrol",0,68.9,1
"A1",2016,10159,"Manual",31461,"Diesel",0,76.3,1.6
"Mokka X",2019,12698,"Manual",16806,"Petrol",145,39.2,1.4
"Zafira",2015,8995,"Manual",23389,"Petrol",205,43,1.4
"Corsa",2018,8433,"Manual",17946,"Petrol",145,55.4,1.4
"Corsa",2018,8260,"Manual",18000,"Petrol",145,55.4,1.4
"Mokka X",2019,14948,"Manual",10,"Petrol",145,39.2,1.4
"A4",2013,11850,"Manual",81171,"Diesel",125,58.9,2
"A4",2019,21950,"Manual",11000,"Petrol",150,39.2,2
"Mokka",2015,7795,"Manual",30158,"Petrol",200,40.9,1.6
"Q5",2019,36845,"Semi-Auto",3143,"Petrol",145,32.1,2
"Corsa",2019,9291,"Manual",5476,"Petrol",145,43.5,1.4
"Fabia",2018,8750,"Manual",2991,"Petrol",145,57.7,1
"Zafira",2015,9000,"Automatic",48857,"Petrol",235,39.2,1.4
"Rapid",2016,5790,"Manual",74129,"Diesel",0,78.5,1.4
"Q3",2019,29999,"Semi-Auto",8250,"Petrol",145,38.2,1.5
"Corsa",2015,5490,"Manual",46000,"Petrol",30,55.4,1.4
"Grandland X",2018,14499,"Manual",10057,"Diesel",145,70.6,1.6
"Superb",2019,23985,"Semi-Auto",4552,"Diesel",145,54.3,2
"Octavia",2016,9298,"Manual",51000,"Diesel",20,70.6,2
"Yaris",2014,9440,"Automatic",47352,"Hybrid",0,76.3,1.5
"RS4",2019,56991,"Semi-Auto",4761,"Petrol",145,29.1,2.9
"Mokka X",2019,14208,"Manual",14466,"Petrol",145,39.2,1.4
"Corsa",2019,10990,"Manual",100,"Petrol",145,43.5,1.4
"Yaris",2019,12601,"Manual",3591,"Petrol",145,47.9,1.5
"Corsa",2017,6750,"Manual",27148,"Petrol",150,55.4,1.4
"A7",2017,26500,"Semi-Auto",34201,"Diesel",145,52.3,3
"A5",2019,28495,"Automatic",10000,"Petrol",145,39.2,2
"Aygo",2019,10195,"Manual",6929,"Petrol",145,56.5,1
"Karoq",2018,19990,"Automatic",18635,"Petrol",150,50.4,1.5
"Auris",2013,11495,"Automatic",26966,"Hybrid",0,72.4,1.8
"Corsa",2018,8800,"Manual",7181,"Petrol",145,54.3,1.4
"Fabia",2016,9990,"Semi-Auto",29377,"Petrol",20,60.1,1.2
"Aygo",2015,5995,"Manual",19702,"Petrol",0,69,1
"Yaris",2015,11990,"Automatic",32265,"Hybrid",0,78,1.5
"Octavia",2014,8490,"Automatic",68000,"Diesel",20,72.4,1.6
"Astra",2017,9998,"Semi-Auto",49335,"Diesel",125,61.4,1.6
"Auris",2015,10998,"Automatic",52368,"Hybrid",0,72.4,1.8
"Corsa",2006,2450,"Automatic",39000,"Petrol",260,38.2,1.4
"Auris",2015,12890,"Automatic",21432,"Hybrid",0,72.4,1.8
"A1",2016,12750,"Manual",10380,"Petrol",30,55.4,1.4
"Avensis",2017,9692,"Manual",59097,"Diesel",20,67.3,1.6
"Mokka",2013,8195,"Manual",31939,"Diesel",30,62.8,1.7
"Corsa",2015,6381,"Manual",29797,"Petrol",125,52.3,1.2
"A3",2015,11495,"Manual",25223,"Petrol",20,60.1,1.4
"Aygo",2019,8475,"Manual",14152,"Petrol",150,56.5,1
"Zafira",2016,11498,"Manual",11483,"Petrol",200,42.2,1.4
"Scala",2019,17990,"Automatic",1907,"Petrol",145,47.1,1
"Astra",2017,10599,"Manual",30821,"Petrol",150,51.4,1.4
"Viva",2018,7920,"Manual",7508,"Petrol",145,46.3,1
"Kodiaq",2018,22490,"Automatic",27430,"Diesel",150,49.6,2
"Astra",2014,6900,"Manual",23808,"Petrol",150,47.9,1.4
"Aygo",2017,7299,"Manual",25859,"Petrol",150,68.9,1
"Mokka X",2018,12999,"Manual",17116,"Petrol",145,39.2,1.4
"Octavia",2015,12490,"Manual",39901,"Diesel",125,55.4,2
"A6",2018,25000,"Automatic",19000,"Diesel",145,61.4,2
"Auris",2014,12995,"Automatic",30999,"Hybrid",0,76.4,1.8
"A6",2016,17970,"Manual",20271,"Diesel",30,61.4,2
"Yaris",2017,10000,"Manual",14702,"Petrol",145,58.9,1.5
"Corsa",2014,5700,"Manual",38896,"Petrol",125,51.4,1.4
"Auris",2016,14995,"Automatic",36000,"Hybrid",0,70.6,1.8
"Mokka X",2017,10990,"Manual",34875,"Diesel",20,68.9,1.6
"Corsa",2019,9999,"Manual",3683,"Petrol",145,43.5,1.4
"Adam",2017,7699,"Manual",16180,"Petrol",125,53.3,1.2
"Yaris",2016,12295,"Automatic",12772,"Hybrid",0,86,1.5
"Fabia",2017,9000,"Manual",21552,"Petrol",145,64.2,1
"Q3",2014,12300,"Automatic",43195,"Diesel",200,47.9,2
"Astra",2017,8798,"Manual",31618,"Petrol",150,51.4,1.4
"Yeti",2017,14495,"Automatic",10700,"Petrol",125,51.4,1.2
"Mokka X",2019,12400,"Manual",13375,"Petrol",145,39.2,1.4
"Mokka X",2019,14995,"Manual",10004,"Petrol",145,39.2,1.4
"Fabia",2019,11490,"Manual",14757,"Petrol",145,61.4,1
"Viva",2016,6091,"Manual",16214,"Petrol",20,62.8,1
"Yaris",2017,11392,"Automatic",30275,"Hybrid",0,86,1.5
"Corsa",2004,1491,"Manual",64622,"Petrol",160,44.8,1.2
"Mokka X",2017,11300,"Manual",21447,"Diesel",145,60.1,1.6
"A1",2016,15000,"Semi-Auto",33435,"Petrol",30,70.6,1.4
"Corolla",2019,22700,"Automatic",6289,"Hybrid",135,78.5,1.8
"Aygo",2018,8295,"Manual",12987,"Petrol",145,56.5,1
"A6",2018,16600,"Automatic",22958,"Petrol",145,50.4,1.8
"Crossland X",2019,13959,"Semi-Auto",15587,"Petrol",145,42.2,1.2
"Fabia",2017,8390,"Manual",24170,"Petrol",150,64.2,1
"Kodiaq",2018,23991,"Automatic",37809,"Diesel",145,49.6,2
"Octavia",2015,15495,"Manual",21900,"Petrol",165,45.6,2
"Corsa",2019,10990,"Manual",100,"Petrol",145,43.5,1.4
"Corsa",2015,5998,"Manual",46527,"Petrol",30,55.4,1.4
"Q2",2018,17950,"Manual",15308,"Petrol",145,55.4,1
"Corsa",2018,9343,"Manual",10600,"Petrol",145,43.5,1.4
"Mokka",2015,8290,"Manual",44516,"Petrol",200,42.2,1.4
"Aygo",2018,7950,"Manual",12780,"Petrol",145,68.9,1
"Astra",2015,7060,"Manual",27744,"Petrol",200,43.5,1.6
"Yaris",2017,12350,"Automatic",18000,"Hybrid",135,76.3,1.5
"A1",2017,12802,"Semi-Auto",31011,"Petrol",145,57.6,1.4
"RAV4",2016,17795,"Automatic",37852,"Hybrid",20,57.6,2.5
"Octavia",2019,19745,"Automatic",3851,"Diesel",145,53.3,2
"Q2",2017,17490,"Manual",26953,"Petrol",145,52.3,1.4
"Fabia",2017,8298,"Manual",46334,"Diesel",150,78.5,1.4
"Corsa",2019,10970,"Automatic",1206,"Petrol",150,39.8,1.4
"Citigo",2017,7999,"Manual",6918,"Petrol",0,68.9,1
"Crossland X",2020,19799,"Automatic",1000,"Diesel",145,55.4,1.5
"Insignia",2019,15498,"Manual",19023,"Diesel",150,53.3,2
"Astra",2020,15690,"Manual",310,"Petrol",145,54.3,1.2
"Aygo",2018,7495,"Manual",17206,"Petrol",145,69,1
"A6",2019,29991,"Automatic",1850,"Diesel",145,47.9,2
"Aygo",2018,7790,"Manual",15255,"Petrol",145,68.9,1
"Rapid",2013,5495,"Manual",29750,"Petrol",125,52.3,1.2
"Yaris",2019,15490,"Manual",3500,"Petrol",145,47.9,1.5
"Fabia",2015,6410,"Manual",23125,"Petrol",20,58.8,1
"Astra",2018,11740,"Manual",32263,"Petrol",145,45.6,1.6
"TT",2016,20999,"Semi-Auto",46200,"Petrol",160,43.5,2
"Mokka X",2017,14995,"Semi-Auto",8600,"Petrol",160,43.5,1.4
"A1",2016,9500,"Manual",37008,"Diesel",0,76.3,1.6
"Grandland X",2019,16300,"Manual",15357,"Petrol",150,44.1,1.2
"Auris",2017,10980,"Manual",13394,"Petrol",125,52.3,1.2
"Aygo",2015,5999,"Manual",41758,"Petrol",0,69,1
"Auris",2016,13495,"Automatic",35417,"Hybrid",0,72.4,1.8
"Viva",2017,6600,"Manual",19750,"Petrol",145,62.8,1
"TT",2017,14795,"Manual",65290,"Diesel",150,62.8,2
"Astra",2018,10000,"Manual",14667,"Petrol",150,64.2,1
"Crossland X",2018,11799,"Manual",14037,"Petrol",145,44.8,1.2
"Crossland X",2019,10998,"Manual",18288,"Petrol",150,47.1,1.2
"Yaris",2015,8772,"Manual",17750,"Petrol",30,55,1.3
"Fabia",2019,10995,"Manual",4500,"Petrol",145,51.4,1
"PROACE VERSO",2019,27998,"Automatic",5,"Diesel",145,38.7,2
"Astra",2018,9499,"Manual",17257,"Petrol",145,64.2,1
"A5",2020,30850,"Semi-Auto",4000,"Diesel",145,47.1,2
"Aygo",2018,9455,"Manual",8799,"Petrol",145,56.5,1
"Astra",2018,10799,"Manual",6458,"Petrol",145,62.8,1
"Prius",2016,18999,"Automatic",18793,"Hybrid",0,94.1,1.8
"Astra",2016,9998,"Manual",13241,"Petrol",125,51.4,1.4
"Aygo",2013,3180,"Manual",85281,"Petrol",0,65.7,1
"Crossland X",2019,12815,"Manual",12304,"Petrol",145,47.1,1.2
"RAV4",2019,32995,"Automatic",7017,"Hybrid",135,49.6,2.5
"C-HR",2017,21495,"Automatic",13025,"Hybrid",140,74.3,1.8
"Octavia",2019,15690,"Automatic",9732,"Diesel",145,72.4,1.6
"A3",2016,19000,"Semi-Auto",49361,"Petrol",205,40.9,2
"Mokka X",2019,12689,"Manual",12705,"Petrol",145,39.2,1.4
"Corsa",2017,10800,"Automatic",5297,"Petrol",145,47.9,1.4
"Zafira",2017,11298,"Manual",25252,"Petrol",145,41.5,1.4
"Astra",2017,8801,"Manual",20500,"Petrol",150,62.8,1
"Mokka X",2017,11660,"Semi-Auto",20056,"Petrol",160,43.5,1.4
"Yaris",2019,14995,"Manual",2119,"Petrol",145,47.9,1.5
"A5",2019,38990,"Manual",10,"Petrol",145,38.7,2
"Mokka X",2017,12998,"Manual",15844,"Petrol",145,47.1,1.4
"Adam",2017,7999,"Manual",7390,"Petrol",150,53.3,1.2
"A3",2015,10000,"Manual",21872,"Petrol",125,53.3,1.4
"A4",2012,6990,"Automatic",87000,"Petrol",145,47.1,2
"Grandland X",2018,16000,"Manual",30348,"Petrol",145,55.4,1.5
"Citigo",2015,6492,"Automatic",18367,"Petrol",20,64.2,1
"A8",2020,48500,"Semi-Auto",2000,"Diesel",145,39.2,3
"Scala",2019,14995,"Manual",2900,"Petrol",145,49.6,1
"Adam",2018,12499,"Manual",9037,"Petrol",145,44.8,1.2
"Mokka X",2016,8641,"Manual",29218,"Petrol",205,42.2,1.6
"Prius",2015,21795,"Automatic",28001,"Other",10,64.2,1.8
"Astra",2017,11998,"Semi-Auto",6539,"Petrol",145,50.4,1.4
"Yaris",2019,14990,"Manual",1500,"Petrol",145,47.9,1.5
"Astra",2017,10300,"Manual",31100,"Petrol",125,51.4,1.4
"Corsa",2016,8498,"Automatic",6347,"Petrol",30,55.4,1.4
"Land Cruiser",2020,44995,"Semi-Auto",200,"Diesel",150,30.1,2.8
"RAV4",2016,21990,"Automatic",33390,"Hybrid",20,55.4,2.5
"A4",2019,29990,"Automatic",3955,"Diesel",145,51.4,2
"Astra",2020,15660,"Manual",2150,"Petrol",145,54.3,1.2
"Q2",2016,19490,"Semi-Auto",26906,"Petrol",125,52.3,1.4
"Octavia",2019,17995,"Manual",1324,"Petrol",145,50.4,1.5
"TT",2017,16995,"Manual",33105,"Petrol",145,47.1,1.8
"Rapid",2014,5965,"Manual",52179,"Petrol",30,55.4,1.2
"Astra",2017,8795,"Manual",30736,"Petrol",145,51.4,1.4
"Corsa",2018,8250,"Manual",16383,"Petrol",145,55.4,1.4
"Q7",2016,30495,"Semi-Auto",22639,"Diesel",165,48.7,3
"Octavia",2017,17750,"Semi-Auto",21492,"Diesel",145,57.7,2
"Citigo",2018,7990,"Manual",5005,"Petrol",145,64.2,1
"A4",2016,13312,"Automatic",73471,"Diesel",30,65.7,2
"Mokka X",2017,10995,"Manual",11395,"Petrol",205,42.2,1.6
"A3",2018,22950,"Semi-Auto",8226,"Petrol",145,56.5,1.5
"Citigo",2017,7000,"Manual",7489,"Petrol",150,64.2,1
"A3",2020,21995,"Manual",5000,"Diesel",145,56.5,2
"A3",2015,11295,"Automatic",72260,"Hybrid",0,176.6,1.4
"TT",2016,18000,"Manual",22450,"Petrol",160,46.3,1.8
"Octavia",2016,9775,"Manual",54140,"Petrol",30,55.4,1.4
"A4",2016,14495,"Manual",66000,"Diesel",30,67.3,2
"Grandland X",2018,13677,"Manual",10480,"Diesel",145,70.6,1.6
"Octavia",2017,10746,"Manual",9545,"Petrol",20,62.8,1
"A4",2017,17600,"Manual",25974,"Petrol",145,51.4,1.4
"A3",2017,20875,"Manual",12650,"Petrol",145,54.3,1.5
"Corsa",2019,10498,"Manual",4704,"Petrol",150,43.5,1.4
"Crossland X",2019,13498,"Manual",3569,"Petrol",145,47.1,1.2
"Land Cruiser",2019,44935,"Semi-Auto",15200,"Diesel",145,30.1,2.8
"Yaris",2019,12000,"Manual",8778,"Petrol",145,47.9,1.5
"Corsa",2017,7980,"Manual",20499,"Petrol",145,54.3,1.4
"Corsa",2010,4495,"Manual",40214,"Petrol",125,51.4,1.4
"Q5",2020,51495,"Semi-Auto",5000,"Diesel",145,34.5,3
"C-HR",2018,17998,"Automatic",18147,"Hybrid",135,74.3,1.8
"A1",2014,10000,"Manual",28324,"Petrol",125,53.3,1.4
"Astra",2018,11900,"Manual",28112,"Petrol",145,45.6,1.6
"Insignia",2013,7131,"Manual",65913,"Diesel",30,65.7,2
"Grandland X",2019,17499,"Manual",2876,"Diesel",145,55.4,1.5
"Q2",2019,29995,"Semi-Auto",4000,"Petrol",145,33.2,2
"Citigo",2018,7700,"Manual",10020,"Petrol",145,64.2,1
"Adam",2017,8792,"Manual",18519,"Petrol",145,53.3,1.2
"Astra",2012,4999,"Manual",52290,"Petrol",125,51.4,1.4
"Mokka X",2017,13250,"Semi-Auto",2863,"Petrol",160,43.5,1.4
"A3",2020,35991,"Semi-Auto",4433,"Petrol",145,34.9,2
"Crossland X",2019,11299,"Manual",14567,"Petrol",145,44.8,1.2
"Astra",2019,15450,"Manual",1528,"Diesel",145,58.9,1.6
"Q2",2019,21005,"Manual",5727,"Diesel",145,49.6,1.6
"Mokka X",2018,12000,"Manual",15911,"Petrol",145,47.1,1.4
"Adam",2017,8495,"Manual",33000,"Petrol",150,53.3,1.2
"Aygo",2018,8021,"Manual",15407,"Petrol",145,68.9,1
"Q2",2019,22890,"Manual",3479,"Petrol",145,44.8,1.5
"Fabia",2015,10590,"Semi-Auto",6456,"Petrol",20,60.1,1.2
"Astra",2019,15295,"Manual",23,"Diesel",150,58.9,1.6
"Crossland X",2019,16000,"Semi-Auto",4422,"Petrol",150,42.2,1.2
"A4",2018,19495,"Semi-Auto",15061,"Petrol",145,51.4,1.4
"Astra",2016,9995,"Manual",11900,"Petrol",20,64.2,1
"Citigo",2017,8490,"Automatic",22997,"Petrol",0,65.7,1
"Yaris",2014,9995,"Automatic",27621,"Hybrid",0,76.3,1.5
"Mokka X",2016,9546,"Manual",23000,"Petrol",145,47.1,1.4
"Q3",2016,17584,"Manual",21002,"Diesel",160,49.6,2
"Mokka X",2018,11000,"Manual",33888,"Petrol",145,39.2,1.4
"Combo Life",2019,18999,"Manual",2859,"Diesel",145,50.4,1.5
"Q3",2020,33444,"Automatic",1500,"Petrol",145,31.4,2
"Astra",2015,6000,"Manual",44772,"Diesel",20,72.4,1.6
"A3",2015,13995,"Manual",42977,"Diesel",20,67.3,2
"Insignia",2018,13998,"Manual",22767,"Diesel",145,53.3,2
"Yaris",2017,12699,"Automatic",19088,"Hybrid",140,76.3,1.5
"Insignia",2019,13998,"Manual",29067,"Petrol",150,50.4,1.5
"A3",2016,10799,"Manual",36851,"Diesel",0,83.1,1.6
"A1",2017,13390,"Manual",5697,"Petrol",145,55.4,1.4
"A1",2015,12762,"Manual",28418,"Petrol",30,58.9,1.4
"Q8",2019,82930,"Automatic",9641,"Diesel",150,30.7,4
"A1",2019,19000,"Semi-Auto",6934,"Petrol",145,47.9,1
"Corsa",2015,10995,"Automatic",900,"Petrol",145,47.9,1.4
"Q3",2017,25082,"Semi-Auto",15336,"Diesel",145,51.4,2
"Yaris",2017,9990,"Automatic",5626,"Petrol",30,58,1.3
"Astra",2020,15995,"Manual",10,"Petrol",145,54.3,1.2
"C-HR",2018,21998,"Automatic",22217,"Hybrid",135,74.3,1.8
"Astra",2015,8495,"Semi-Auto",23503,"Petrol",240,38.2,1.6
"A3",2017,15991,"Manual",38837,"Petrol",145,55.4,1.5
"Q3",2014,11500,"Manual",72890,"Diesel",145,54.3,2
"A1",2018,14495,"Manual",20106,"Petrol",145,67.3,1
"A1",2016,10970,"Manual",26442,"Petrol",30,57.6,1.4
"Yaris",2017,8995,"Manual",13200,"Petrol",150,58.9,1.5
"Fabia",2017,10250,"Semi-Auto",21052,"Diesel",145,70.6,1.4
"Aygo",2017,7395,"Manual",29837,"Petrol",145,68.9,1
"Fabia",2020,12995,"Manual",500,"Petrol",145,52.3,1
"Corsa",2015,9999,"Automatic",8390,"Petrol",140,47.9,1.4
"Mokka X",2019,12798,"Manual",8128,"Petrol",145,39.2,1.4
"Corsa",2019,9471,"Manual",9260,"Petrol",145,43.5,1.4
"Citigo",2017,6995,"Manual",20654,"Petrol",20,64.2,1
"Citigo",2018,7480,"Manual",27964,"Petrol",150,68.9,1
"Corsa",2013,4195,"Manual",39338,"Petrol",30,55.4,1
"Corolla",2019,24960,"Automatic",2535,"Hybrid",135,72.4,2
"Octavia",2015,11030,"Automatic",74933,"Diesel",125,60.1,2
"TT",2013,9250,"Manual",67691,"Diesel",145,53.3,2
"A1",2016,8490,"Manual",27000,"Petrol",0,67.3,1
"A4",2019,26750,"Automatic",9970,"Diesel",150,49.6,2
"Viva",2016,6310,"Manual",5700,"Petrol",20,62.8,1
"Q2",2019,21495,"Manual",5000,"Diesel",145,49.6,1.6
"Combo Life",2018,13990,"Manual",4541,"Diesel",145,53.3,1.5
"TT",2016,32850,"Semi-Auto",42829,"Petrol",300,34,2.5
"Fabia",2019,12995,"Semi-Auto",13120,"Petrol",145,60.1,1
"Crossland X",2018,12300,"Manual",14389,"Petrol",145,44.8,1.2
"Corsa",2013,4950,"Manual",51063,"Petrol",125,51.4,1.2
"Auris",2017,11999,"Manual",22458,"Petrol",30,58.9,1.2
"A1",2017,13495,"Manual",7024,"Petrol",145,67.3,1
"Q2",2019,28900,"Semi-Auto",6005,"Petrol",145,33.2,2
"Mokka X",2017,11998,"Manual",18800,"Petrol",145,47.1,1.4
"Mokka X",2018,11800,"Automatic",35908,"Petrol",150,37.2,1.4
"Insignia",2018,11998,"Manual",29556,"Diesel",150,65.7,1.6
"Astra",2017,9998,"Semi-Auto",45480,"Diesel",125,61.4,1.6
"Octavia",2017,10795,"Manual",21500,"Petrol",150,58.9,1
"Zafira",2016,9930,"Manual",31734,"Petrol",200,42.2,1.4
"A4",2017,17750,"Automatic",33112,"Diesel",145,65.7,2
"Yaris",2017,8980,"Manual",31623,"Petrol",145,58.9,1.5
"Corsa",2019,9900,"Manual",2217,"Petrol",150,43.5,1.4
"Q2",2017,16999,"Manual",33636,"Diesel",30,61.4,1.6
"Q3",2017,22500,"Semi-Auto",33200,"Diesel",150,55.4,2
"Aygo",2017,8490,"Manual",15972,"Petrol",0,68.9,1
"Superb",2018,15395,"Manual",24757,"Diesel",145,65.7,2
"Octavia",2019,12540,"Manual",14068,"Diesel",145,68.9,1.6
"Astra",2017,8291,"Manual",46971,"Petrol",145,51.4,1.4
"Octavia",2017,11995,"Semi-Auto",25391,"Petrol",150,57.7,1.4
"Prius",2017,19980,"Automatic",39158,"Hybrid",0,94.1,1.8
"Astra",2015,11490,"Manual",42000,"Petrol",300,34.9,2
"Mokka X",2016,9995,"Manual",42250,"Petrol",200,42.2,1.6
"Astra",2020,14990,"Manual",100,"Petrol",145,54.3,1.2
"Yaris",2019,13495,"Automatic",5176,"Petrol",145,47.9,1.5
"Citigo",2017,7795,"Automatic",11160,"Petrol",145,65.7,1
"Q3",2017,17997,"Manual",10950,"Petrol",145,51.4,1.4
"Octavia",2019,16490,"Automatic",13,"Diesel",145,72.4,1.6
"Mokka X",2019,12995,"Manual",14443,"Petrol",145,39.2,1.4
"Aygo",2017,7800,"Manual",26912,"Petrol",0,69,1
"Superb",2019,23585,"Semi-Auto",8171,"Petrol",150,38.2,2
"Zafira",2017,13000,"Automatic",7114,"Petrol",200,40.9,1.4
"C-HR",2017,17999,"Automatic",42192,"Hybrid",0,74.3,1.8
"Yaris",2018,14795,"Automatic",11245,"Hybrid",140,76.3,1.5
"Corsa",2019,10990,"Manual",1593,"Petrol",145,43.5,1.4
"Mokka X",2018,12560,"Semi-Auto",11285,"Petrol",145,43.5,1.4
"Mokka X",2017,12500,"Automatic",16940,"Petrol",145,43.5,1.4
"Viva",2016,6090,"Manual",14799,"Petrol",20,62.8,1
"Octavia",2017,10995,"Manual",54331,"Diesel",20,70.6,2
"Superb",2017,11499,"Semi-Auto",72203,"Diesel",125,61.4,2
"Fabia",2015,7498,"Manual",45262,"Diesel",0,80.7,1.4
"Mokka",2015,8299,"Manual",52684,"Diesel",20,68.9,1.6
"RS3",2018,36490,"Automatic",17515,"Petrol",145,34,2.5
"Yaris",2016,13491,"Automatic",14570,"Hybrid",0,78,1.5
"Q2",2019,23888,"Manual",1076,"Petrol",145,43.5,0
"Meriva",2010,3290,"Manual",52116,"Petrol",160,46.3,1.4
"Superb",2017,14498,"Semi-Auto",46264,"Diesel",30,62.8,2
"Corsa",2016,6480,"Manual",12219,"Petrol",30,55.4,1.4
"Insignia",2018,12695,"Manual",24452,"Diesel",150,70.6,1.6
"Corsa",2016,10295,"Automatic",22650,"Petrol",145,47.9,1.4
"Auris",2016,14675,"Automatic",13793,"Hybrid",0,78.5,1.8
"R8",2019,135000,"Automatic",1000,"Petrol",145,32.8,5.2
"Yaris",2017,10995,"Automatic",10542,"Petrol",145,60.1,1.5
"Astra",2019,15496,"Manual",5522,"Petrol",145,51.4,1.4
"A4",2016,14000,"Manual",51877,"Diesel",20,72.4,2
"Fabia",2019,8700,"Manual",13401,"Petrol",145,50.4,1
"Mokka X",2018,14295,"Semi-Auto",19369,"Petrol",145,37.2,1.4
"Fabia",2017,10495,"Semi-Auto",19385,"Petrol",150,60.1,1.2
"Superb",2019,17995,"Semi-Auto",888,"Petrol",145,36.7,1.5
"Aygo",2016,5991,"Manual",30061,"Petrol",0,69,1
"Mokka X",2017,12999,"Automatic",19584,"Petrol",145,43.5,1.4
"Kodiaq",2019,22950,"Manual",3896,"Diesel",145,42.8,2
"Corsa",2017,8290,"Manual",26787,"Petrol",150,55.4,1.4
"Kodiaq",2019,25990,"Automatic",11041,"Diesel",145,42.2,2
"A5",2019,32490,"Automatic",8000,"Petrol",145,37.7,2
"Rapid",2018,10990,"Manual",19050,"Petrol",145,62.8,1
"Auris",2011,5950,"Automatic",69000,"Hybrid",0,70.6,1.8
"Corsa",2019,9498,"Manual",17125,"Petrol",150,43.5,1.4
"A4",2016,13910,"Manual",67840,"Diesel",30,64.2,2
"Corsa",2019,10998,"Manual",9401,"Petrol",150,44.8,1.4
"A3",2019,30500,"Semi-Auto",266,"Petrol",150,34.9,2
"Q3",2017,23290,"Semi-Auto",9811,"Petrol",145,47.9,1.4
"A4",2013,8295,"Semi-Auto",86999,"Diesel",125,57.6,2
"Octavia",2020,19999,"Semi-Auto",4789,"Diesel",150,53.3,2
"Astra",2017,10500,"Manual",9503,"Petrol",125,51.4,0
"Yaris",2017,9998,"Manual",22500,"Petrol",145,55,1.3
"Yaris",2018,10995,"Manual",27799,"Petrol",145,58.9,1.5
"Astra",2016,8498,"Manual",45877,"Petrol",20,64.2,1
"Yeti Outdoor",2016,11495,"Manual",39177,"Petrol",125,51.4,1.2
"Yaris",2017,11495,"Automatic",30613,"Hybrid",0,86,1.5
"Yaris",2017,12250,"Automatic",16618,"Petrol",150,60.1,1.5
"Aygo",2016,6390,"Manual",8835,"Petrol",0,69,1
"Corsa",2018,7799,"Manual",12388,"Petrol",145,55.4,1.4
"Yaris",2019,14245,"Manual",541,"Petrol",150,47.9,1.5
"Zafira",2016,9250,"Manual",26809,"Diesel",20,68.9,1.6
"Insignia",2017,12500,"Automatic",48500,"Diesel",145,55.4,1.6
"A6",2017,17500,"Manual",20131,"Diesel",145,61.4,2
"Aygo",2016,5000,"Manual",34732,"Petrol",0,69,1
"C-HR",2019,25991,"Automatic",6829,"Hybrid",135,74.3,1.8
"A1",2019,21990,"Manual",6000,"Petrol",145,47.9,1
"Scala",2019,15495,"Manual",1813,"Diesel",145,57.7,1.6
"Mokka",2016,9070,"Manual",19966,"Petrol",200,40.9,1.6
"Fabia",2017,10350,"Manual",13889,"Petrol",145,64.2,1
"A4",2019,25999,"Automatic",5432,"Diesel",145,50.4,2
"Q5",2020,60000,"Semi-Auto",3000,"Diesel",145,32.5,3
"Corsa",2016,6699,"Manual",16094,"Petrol",30,55.4,1.4
"Supra",2019,59995,"Automatic",9909,"Other",150,34.5,3
"Octavia",2017,13998,"Semi-Auto",8139,"Petrol",145,57.7,1.4
"Superb",2016,14698,"Manual",26406,"Diesel",20,68.9,2
"Grandland X",2019,22000,"Manual",2392,"Petrol",145,44.1,1.2
"Mokka X",2017,10991,"Manual",31000,"Diesel",145,72.4,1.6
"Corsa",2017,6491,"Manual",33799,"Petrol",145,55.4,1.4
"Fabia",2013,5495,"Manual",58512,"Diesel",20,67.3,1.6
"Astra",2016,9000,"Manual",36000,"Petrol",125,51.4,1.4
"Kodiaq",2019,21700,"Automatic",14750,"Petrol",145,34,1.5
"Superb",2019,26495,"Semi-Auto",12,"Petrol",150,38.2,2
"Yaris",2016,7298,"Manual",34586,"Petrol",30,58,1.3
"Mokka X",2017,10500,"Manual",28092,"Petrol",200,42.2,1.6
"Corsa",2016,8300,"Manual",21172,"Petrol",30,54.3,1.4
"Viva",2018,7195,"Manual",18818,"Petrol",150,46.3,1
"Auris",2017,15990,"Automatic",8565,"Hybrid",0,72.4,1.8
"Corsa",2019,10399,"Manual",5611,"Petrol",145,43.5,1.4
